Country,Year,GDP_per_capita
China,2000,969.199513696287
China,2001,1065.40597574519
China,2002,1163.55957673426
China,2003,1306.97245408557
China,2004,1530.92726215723
China,2005,1777.64496828464
China,2006,2129.25696999613
China,2007,2734.72709877693
China,2008,3523.44302065213
China,2009,3898.24459158811
China,2010,4629.24551710077
China,2011,5703.76027973346
China,2012,6405.0574241349
China,2013,7147.03518622344
China,2014,7781.06597484974
China,2015,8175.33285077393
China,2016,8254.86859320357
China,2017,8979.67652709856
China,2018,10085.6638148819
China,2019,10342.9009524335
China,2020,10627.4637989619
China,2021,12887.4357242941
China,2022,12970.6056414327
China,2023,12951.1782397043
China,2024,13293.1162269366
China,2025,13861.970224368
India,2000,442.750218937263
India,2001,450.357900514128
India,2002,469.149928973927
India,2003,544.143133545002
India,2004,624.258826510066
India,2005,710.488080408949
India,2006,801.668353659022
India,2007,1021.88707706826
India,2008,992.519584923828
India,2009,1094.94974598436
India,2010,1347.51939071367
India,2011,1445.46127486037
India,2012,1429.32199520032
India,2013,1432.84397512195
India,2014,1553.88396075118
India,2015,1583.99815907985
India,2016,1707.50892912243
India,2017,1950.10468280866
India,2018,1966.25455171679
India,2019,2041.42863698585
India,2020,1907.04251637669
India,2021,2239.61384367482
India,2022,2279.98145719369
India,2023,2434.44826340989
India,2024,2591.9916607122
India,2025,2702.47987141553
Pakistan,2000,642.338346499898
Pakistan,2001,609.939506905073
Pakistan,2002,599.937345723927
Pakistan,2003,672.44178669894
Pakistan,2004,771.902247348954
Pakistan,2005,827.619861189926
Pakistan,2006,900.873564984808
Pakistan,2007,998.090114197524
Pakistan,2008,1067.04324565284
Pakistan,2009,963.788066395225
Pakistan,2010,987.304571124485
Pakistan,2011,1131.73513834324
Pakistan,2012,1204.36475491585
Pakistan,2013,1225.4340119198
Pakistan,2014,1266.61340849959
Pakistan,2015,1380.47020838317
Pakistan,2016,1424.69161195897
Pakistan,2017,1519.23459514248
Pakistan,2018,1569.33814626355
Pakistan,2019,1390.41690981745
Pakistan,2020,1278.39735206896
Pakistan,2021,1455.31922370186
Pakistan,2022,1538.3228133171
Pakistan,2023,1360.32417758419
Pakistan,2024,1479.47755241191
Pakistan,2025,1595.90912252837
United Kingdom,2000,28383.8761094996
United Kingdom,2001,28013.8729635508
United Kingdom,2002,30158.7017807858
United Kingdom,2003,34556.7726095905
United Kingdom,2004,40504.4118103928
United Kingdom,2005,42240.2462987547
United Kingdom,2006,44695.161023424
United Kingdom,2007,50629.0799172887
United Kingdom,2008,47652.4030691881
United Kingdom,2009,39009.3715547821
United Kingdom,2010,39778.3220528565
United Kingdom,2011,42295.9273835322
United Kingdom,2012,42688.3263728372
United Kingdom,2013,43607.6636827371
United Kingdom,2014,47746.9810645521
United Kingdom,2015,45256.040227057
United Kingdom,2016,41258.5374285695
United Kingdom,2017,40918.0520870944
United Kingdom,2018,43704.3162296687
United Kingdom,2019,43160.6843971799
United Kingdom,2020,40815.1255364787
United Kingdom,2021,47695.6491523474
United Kingdom,2022,47034.7795621476
United Kingdom,2023,49919.6896621586
United Kingdom,2024,53341.3131094262
United Kingdom,2025,57601.9621201954
